feature,correlation,abs_corr
interleukin6,1.0,1.0
HMDB00230,0.46561739373633576,0.46561739373633576
HMDB12383,0.4571421032978645,0.4571421032978645
HMDB00720,-0.4515360788606475,0.4515360788606475
HMDB00254,0.4077255315510231,0.4077255315510231
HMDB00175,0.3873145877060926,0.3873145877060926
HMDB00708,0.3854279915786523,0.3854279915786523
HMDB11503,-0.378506424358331,0.378506424358331
HMDB01341,0.37847022293806026,0.37847022293806026
HMDB61702,-0.3774700593257479,0.3774700593257479
HMDB00215,0.3774366367637702,0.3774366367637702
HMDB03681,0.3766657420740099,0.3766657420740099
HMDB13127,0.37086261974315,0.37086261974315
[Eubacterium].01,0.36338071905332087,0.36338071905332087
HMDB10382,-0.3597690894015925,0.3597690894015925
HMDB02183,-0.3593328748412262,0.3593328748412262
Enterococcus.02,0.35698421100844835,0.35698421100844835
Sphingomonas.01,0.3566926414186647,0.3566926414186647
Propionibacterium.01,0.3566926414186644,0.3566926414186644
Ignatzschineria.01,0.3566926414186643,0.3566926414186643
HMDB11130,-0.3564075579066543,0.3564075579066543
HMDB02110,0.35549105948045984,0.35549105948045984
Coprococcus.01,0.34821430744179066,0.34821430744179066
Anaerofustis.01,0.34548198579847866,0.34548198579847866
HMDB61690,0.3446030428550851,0.3446030428550851
HMDB10163,0.3445654464303755,0.3445654464303755
HMDB61112,-0.3422772347200379,0.3422772347200379
HMDB00943,-0.3416908679166689,0.3416908679166689
HMDB11753,-0.3351931792942123,0.3351931792942123
HMDB01999,-0.33438797020467054,0.33438797020467054
HMDB00305,-0.33169992072189614,0.33169992072189614
HMDB01248,-0.32533498344062456,0.32533498344062456
HMDB00856,0.32479304008092424,0.32479304008092424
HMDB06028,0.32201392996435824,0.32201392996435824
Parabacteroides.01,-0.321670190067492,0.321670190067492
HMDB00060,0.3180373190449623,0.3180373190449623
HMDB61705,0.3165961487008622,0.3165961487008622
HMDB00767,0.316346408096058,0.316346408096058
Adlercreutzia.01,0.31481167239963154,0.31481167239963154
Leuconostoc.01,0.31410648213323833,0.31410648213323833
HMDB02329,-0.3134399802620731,0.3134399802620731
HMDB07991,-0.31248046596205964,0.31248046596205964
HMDB01161,0.3100939046060793,0.3100939046060793
HMDB00118,0.3096115243625289,0.3096115243625289
HMDB07218,-0.3095843727585626,0.3095843727585626
HMDB32332,0.30900870456947094,0.30900870456947094
HMDB03290,0.3062668188300254,0.3062668188300254
HMDB01547,-0.30622143583800854,0.30622143583800854
HMDB00671,0.3050238399394852,0.3050238399394852
HMDB00686,0.3040351789878574,0.3040351789878574
HMDB00139,-0.30307487546184464,0.30307487546184464
HMDB05324,-0.30270046191940014,0.30270046191940014
HMDB00259,0.3026688443409571,0.3026688443409571
HMDB00912,0.3010869496570895,0.3010869496570895
HMDB01173,0.3010368152855024,0.3010368152855024
HMDB07219,-0.2989028214993334,0.2989028214993334
HMDB00269,0.29720852537027487,0.29720852537027487
HMDB00350,0.2963966391318253,0.2963966391318253
Clostridium.04,0.29631055878098506,0.29631055878098506
HMDB00345,0.2959731964530162,0.2959731964530162
HMDB00812,-0.29349463451152635,0.29349463451152635
HMDB15109,-0.2932871067311765,0.2932871067311765
HMDB02243,0.2922658868227644,0.2922658868227644
HMDB07249,-0.29114780385303907,0.29114780385303907
HMDB12141,0.28558327168899733,0.28558327168899733
HMDB61694,0.28521694309898726,0.28521694309898726
HMDB02007,-0.28514188731798534,0.28514188731798534
HMDB00755,0.2851250640582925,0.2851250640582925
HMDB00613,0.2848944279692337,0.2848944279692337
HMDB00489,0.28443163238913866,0.28443163238913866
HMDB01928,0.2839837335192986,0.2839837335192986
HMDB00424,0.2838885287662188,0.2838885287662188
HMDB04620,0.2820423963784286,0.2820423963784286
HMDB02721,0.2805081209759025,0.2805081209759025
HMDB00904,0.27992611788684335,0.27992611788684335
HMDB00209,0.2790439729395284,0.2790439729395284
